Mod:Item:MetaData, Localized Name
hbm:item.powder_plutonium, Plutonium Powder
hbm:item.powder_neptunium, Neptunium Powder
hbm:item.powder_polonium, Polonium-210 Powder
hbm:item.powder_co60, Cobalt-60 Powder
hbm:item.powder_sr90, Strontium-90 Powder
hbm:item.powder_sr90_tiny, Tiny Pile of Strontium-90 Powder
hbm:item.powder_i131, Iodine-131 Powder
hbm:item.powder_i131_tiny, Tiny Pile of Iodine-131 Powder
hbm:item.powder_xe135, Xenon-135 Powder
hbm:item.powder_xe135_tiny, Tiny Pile of Xenon-135 Powder
hbm:item.powder_cs137, Caesium-137 Powder
hbm:item.powder_cs137_tiny, Tiny Pile of Caesium-137 Powder
hbm:item.powder_au198, Gold-198 Powder
hbm:item.powder_ra226, Radium-226 Powder
hbm:item.powder_at209, Astatine-209 Powder
hbm:item.powder_titanium, Titanium Powder
hbm:item.powder_copper, Copper Powder
hbm:item.powder_red_copper, Red Copper Powder
hbm:item.powder_advanced_alloy, Advanced Alloy Powder
hbm:item.powder_tungsten, Tungsten Powder
hbm:item.powder_aluminium, Aluminium Powder
hbm:item.powder_steel, Steel Powder
hbm:item.powder_steel_tiny, Tiny Pile of Steel Powder
hbm:item.powder_tcalloy, Technetium Steel Powder
hbm:item.powder_lead, Lead Powder
hbm:item.powder_bismuth, Bismuth Powder
hbm:item.powder_calcium, Calcium Powder
hbm:item.powder_cadmium, Cadmium Powder
hbm:item.powder_coltan_ore, Crushed Coltan
hbm:item.powder_coltan, Purified Tantalite
hbm:item.powder_tantalium, Tantalium Powder
hbm:item.powder_tektite, Tektite Powder
hbm:item.powder_paleogenite, Paleogenite Powder
hbm:item.powder_paleogenite_tiny, Tiny Pile of Paleogenite Powder
hbm:item.powder_impure_osmiridium, Impure Osmiridium Powder
hbm:item.powder_borax, Borax
hbm:item.powder_chlorocalcite, Chlorocalcite
hbm:item.powder_molysite, Molysite
hbm:item.powder_yellowcake, Yellowcake
hbm:item.powder_beryllium, Beryllium Powder
hbm:item.powder_dura_steel, High-Speed Steel Powder
hbm:item.powder_polymer, Polymer Powder
hbm:item.powder_bakelite, Bakelite Powder
hbm:item.powder_schrabidium, Schrabidium Powder
hbm:item.powder_schrabidate, Ferric Schrabidate Powder
hbm:item.powder_magnetized_tungsten, Magnetized Tungsten Powder
hbm:item.powder_chlorophyte, Chlorophyte Powder
hbm:item.powder_combine_steel, CMB Steel Powder
hbm:item.powder_lithium, Lithium Powder
hbm:item.powder_lithium_tiny, Tiny Pile of Lithium Powder
hbm:item.powder_zirconium, Zirconium Powder
hbm:item.powder_sodium, Sodium
hbm:item.powder_lignite, Lignite Powder
hbm:item.powder_iodine, Iodine Powder
hbm:item.powder_thorium, Thorium Powder
hbm:item.powder_neodymium, Neodymium Powder
hbm:item.powder_neodymium_tiny, Tiny Pile of Neodymium Powder
hbm:item.powder_astatine, Astatine Powder
hbm:item.powder_caesium, Caesium Powder
hbm:item.powder_australium, Australium Powder
hbm:item.powder_strontium, Strontium Powder
hbm:item.powder_cobalt, Cobalt Powder
hbm:item.powder_cobalt_tiny, Tiny Pile of Cobalt Powder
hbm:item.powder_bromine, Bromine Powder
hbm:item.powder_niobium, Niobium Powder
hbm:item.powder_niobium_tiny, Tiny Pile of Niobium Powder
hbm:item.powder_tennessine, Tennessine Powder
hbm:item.powder_cerium, Cerium Powder
hbm:item.powder_cerium_tiny, Tiny Pile of Cerium Powder
hbm:item.powder_lanthanium, Lanthanium Powder
hbm:item.powder_lanthanium_tiny, Tiny Pile of Lanthanium Powder
hbm:item.powder_actinium, Actinium Powder
hbm:item.powder_actinium_tiny, Tiny Pile of Actinium Powder
hbm:item.powder_boron, Boron Powder
hbm:item.powder_boron_tiny, Tiny Pile of Boron Powder
hbm:item.powder_asbestos, Asbestos Powder
hbm:item.powder_magic, Pulverized Enchantment
hbm:item.powder_sawdust, Sawdust
hbm:item.powder_flux, Flux
hbm:item.powder_fertilizer, Industrial Fertilizer
hbm:item.powder_balefire, Thermonuclear Ashes
hbm:item.powder_semtex_mix, Semtex Blend
hbm:item.powder_desh_mix, Desh Blend
hbm:item.powder_desh_ready, DeshReady™ Blend
hbm:item.powder_desh, Desh Powder
hbm:item.powder_nitan_mix, Nitanium Blend
hbm:item.powder_spark_mix, Spark Blend
hbm:item.powder_meteorite, Meteorite Powder
hbm:item.powder_meteorite_tiny, Tiny Pile of Meteorite Powder
hbm:item.powder_euphemium, Euphemium Powder
hbm:item.powder_dineutronium, Dineutronium Powder
hbm:item.dust, Dust
hbm:item.dust_tiny, Tiny Pile of Dust
hbm:item.fallout, Pile of Fallout
hbm:item.powder_ash:0, Wood Ash
hbm:item.powder_ash:1, Coal Ash
hbm:item.powder_ash:2, Ash
hbm:item.powder_ash:3, Fly Ash
hbm:item.powder_ash:4, Fine Soot
hbm:item.powder_ash:5, Fullerene
hbm:item.powder_limestone, Limestone Powder
hbm:item.powder_cement, Cement
hbm:item.powder_fire, Red Phosphorus
hbm:item.powder_ice, Cryo Powder
hbm:item.powder_poison, Poison Powder
hbm:item.powder_thermite, Thermite
hbm:item.powder_power, Energy Powder
hbm:item.cordite, Cordite
hbm:item.ballistite, Ballistite
hbm:item.ball_dynamite, Dynamite
hbm:item.ball_tnt, TNT
hbm:item.ball_tatb, TATB
hbm:item.ball_resin, Latex
hbm:item.ball_fireclay, Fireclay
hbm:item.ore_bedrock:0, Iron Bedrock Ore
hbm:item.ore_bedrock:1, Copper Bedrock Ore
hbm:item.ore_bedrock:2, Borax Bedrock Ore
hbm:item.ore_bedrock:3, Asbestos Bedrock Ore
hbm:item.ore_bedrock:4, Niobium Bedrock Ore
hbm:item.ore_bedrock:5, Titanium Bedrock Ore
hbm:item.ore_bedrock:6, Tungsten Bedrock Ore
hbm:item.ore_bedrock:7, Gold Bedrock Ore
hbm:item.ore_bedrock:8, Uranium Bedrock Ore
hbm:item.ore_bedrock:9, Thorium Bedrock Ore
hbm:item.ore_bedrock:10, Chlorocalcite Bedrock Ore
hbm:item.ore_bedrock:11, Fluorite Bedrock Ore
hbm:item.ore_bedrock:12, Hematite Bedrock Ore
hbm:item.ore_bedrock:13, Malachite Bedrock Ore
hbm:item.ore_bedrock:14, Neodymium Bedrock Ore
hbm:item.ore_centrifuged:0, Centrifuged Iron Ore
hbm:item.ore_centrifuged:1, Centrifuged Copper Ore
hbm:item.ore_centrifuged:2, Centrifuged Borax Ore
hbm:item.ore_centrifuged:3, Centrifuged Asbestos Ore
hbm:item.ore_centrifuged:4, Centrifuged Niobium Ore
hbm:item.ore_centrifuged:5, Centrifuged Titanium Ore
hbm:item.ore_centrifuged:6, Centrifuged Tungsten Ore
hbm:item.ore_centrifuged:7, Centrifuged Gold Ore
hbm:item.ore_centrifuged:8, Centrifuged Uranium Ore
hbm:item.ore_centrifuged:9, Centrifuged Thorium Ore
hbm:item.ore_centrifuged:10, Centrifuged Chlorocalcite Ore
hbm:item.ore_centrifuged:11, Centrifuged Fluorite Ore
hbm:item.ore_centrifuged:12, Centrifuged Hematite Ore
hbm:item.ore_centrifuged:13, Centrifuged Malachite Ore
hbm:item.ore_centrifuged:14, Centrifuged Neodymium Ore
hbm:item.ore_cleaned:0, Cleaned Iron Ore
hbm:item.ore_cleaned:1, Cleaned Copper Ore
hbm:item.ore_cleaned:2, Cleaned Borax Ore
hbm:item.ore_cleaned:3, Cleaned Asbestos Ore
hbm:item.ore_cleaned:4, Cleaned Niobium Ore
hbm:item.ore_cleaned:5, Cleaned Titanium Ore
hbm:item.ore_cleaned:6, Cleaned Tungsten Ore
hbm:item.ore_cleaned:7, Cleaned Gold Ore
hbm:item.ore_cleaned:8, Cleaned Uranium Ore
hbm:item.ore_cleaned:9, Cleaned Thorium Ore
hbm:item.ore_cleaned:10, Cleaned Chlorocalcite Ore
hbm:item.ore_cleaned:11, Cleaned Fluorite Ore
hbm:item.ore_cleaned:12, Cleaned Hematite Ore
hbm:item.ore_cleaned:13, Cleaned Malachite Ore
hbm:item.ore_cleaned:14, Cleaned Neodymium Ore
hbm:item.ore_separated:0, Separated Iron Ore
hbm:item.ore_separated:1, Separated Copper Ore
hbm:item.ore_separated:2, Separated Borax Ore
hbm:item.ore_separated:3, Separated Asbestos Ore
hbm:item.ore_separated:4, Separated Niobium Ore
hbm:item.ore_separated:5, Separated Titanium Ore
hbm:item.ore_separated:6, Separated Tungsten Ore
hbm:item.ore_separated:7, Separated Gold Ore
hbm:item.ore_separated:8, Separated Uranium Ore
hbm:item.ore_separated:9, Separated Thorium Ore
hbm:item.ore_separated:10, Separated Chlorocalcite Ore
hbm:item.ore_separated:11, Separated Fluorite Ore
hbm:item.ore_separated:12, Separated Hematite Ore
hbm:item.ore_separated:13, Separated Malachite Ore
hbm:item.ore_separated:14, Separated Neodymium Ore
hbm:item.ore_purified:0, Purified Iron Ore
hbm:item.ore_purified:1, Purified Copper Ore
hbm:item.ore_purified:2, Purified Borax Ore
hbm:item.ore_purified:3, Purified Asbestos Ore
hbm:item.ore_purified:4, Purified Niobium Ore
hbm:item.ore_purified:5, Purified Titanium Ore
hbm:item.ore_purified:6, Purified Tungsten Ore
hbm:item.ore_purified:7, Purified Gold Ore
hbm:item.ore_purified:8, Purified Uranium Ore
hbm:item.ore_purified:9, Purified Thorium Ore
hbm:item.ore_purified:10, Purified Chlorocalcite Ore
hbm:item.ore_purified:11, Purified Fluorite Ore
hbm:item.ore_purified:12, Purified Hematite Ore
hbm:item.ore_purified:13, Purified Malachite Ore
hbm:item.ore_purified:14, Purified Neodymium Ore
hbm:item.ore_nitrated:0, Nitrated Iron Ore
hbm:item.ore_nitrated:1, Nitrated Copper Ore
hbm:item.ore_nitrated:2, Nitrated Borax Ore
hbm:item.ore_nitrated:3, Nitrated Asbestos Ore
hbm:item.ore_nitrated:4, Nitrated Niobium Ore
hbm:item.ore_nitrated:5, Nitrated Titanium Ore
hbm:item.ore_nitrated:6, Nitrated Tungsten Ore
hbm:item.ore_nitrated:7, Nitrated Gold Ore
hbm:item.ore_nitrated:8, Nitrated Uranium Ore
hbm:item.ore_nitrated:9, Nitrated Thorium Ore
hbm:item.ore_nitrated:10, Nitrated Chlorocalcite Ore
hbm:item.ore_nitrated:11, Nitrated Fluorite Ore
hbm:item.ore_nitrated:12, Nitrated Hematite Ore
hbm:item.ore_nitrated:13, Nitrated Malachite Ore
hbm:item.ore_nitrated:14, Nitrated Neodymium Ore
hbm:item.ore_nitrocrystalline:0, Nitrocrystalline Iron Ore
hbm:item.ore_nitrocrystalline:1, Nitrocrystalline Copper Ore
hbm:item.ore_nitrocrystalline:2, Nitrocrystalline Borax Ore
hbm:item.ore_nitrocrystalline:3, Nitrocrystalline Asbestos Ore
hbm:item.ore_nitrocrystalline:4, Nitrocrystalline Niobium Ore
hbm:item.ore_nitrocrystalline:5, Nitrocrystalline Titanium Ore
hbm:item.ore_nitrocrystalline:6, Nitrocrystalline Tungsten Ore
hbm:item.ore_nitrocrystalline:7, Nitrocrystalline Gold Ore
hbm:item.ore_nitrocrystalline:8, Nitrocrystalline Uranium Ore
hbm:item.ore_nitrocrystalline:9, Nitrocrystalline Thorium Ore
hbm:item.ore_nitrocrystalline:10, Nitrocrystalline Chlorocalcite Ore
hbm:item.ore_nitrocrystalline:11, Nitrocrystalline Fluorite Ore
hbm:item.ore_nitrocrystalline:12, Nitrocrystalline Hematite Ore
hbm:item.ore_nitrocrystalline:13, Nitrocrystalline Malachite Ore
hbm:item.ore_nitrocrystalline:14, Nitrocrystalline Neodymium Ore
hbm:item.ore_deepcleaned:0, Deep Cleaned Iron Ore
hbm:item.ore_deepcleaned:1, Deep Cleaned Copper Ore
hbm:item.ore_deepcleaned:2, Deep Cleaned Borax Ore
hbm:item.ore_deepcleaned:3, Deep Cleaned Asbestos Ore
hbm:item.ore_deepcleaned:4, Deep Cleaned Niobium Ore
hbm:item.ore_deepcleaned:5, Deep Cleaned Titanium Ore
hbm:item.ore_deepcleaned:6, Deep Cleaned Tungsten Ore
hbm:item.ore_deepcleaned:7, Deep Cleaned Gold Ore
hbm:item.ore_deepcleaned:8, Deep Cleaned Uranium Ore
hbm:item.ore_deepcleaned:9, Deep Cleaned Thorium Ore
hbm:item.ore_deepcleaned:10, Deep Cleaned Chlorocalcite Ore
hbm:item.ore_deepcleaned:11, Deep Cleaned Fluorite Ore
hbm:item.ore_deepcleaned:12, Deep Cleaned Hematite Ore
hbm:item.ore_deepcleaned:13, Deep Cleaned Malachite Ore
hbm:item.ore_deepcleaned:14, Deep Cleaned Neodymium Ore
hbm:item.ore_seared:0, Seared Iron Ore
hbm:item.ore_seared:1, Seared Copper Ore
hbm:item.ore_seared:2, Seared Borax Ore
hbm:item.ore_seared:3, Seared Asbestos Ore
hbm:item.ore_seared:4, Seared Niobium Ore
hbm:item.ore_seared:5, Seared Titanium Ore
hbm:item.ore_seared:6, Seared Tungsten Ore
hbm:item.ore_seared:7, Seared Gold Ore
hbm:item.ore_seared:8, Seared Uranium Ore
hbm:item.ore_seared:9, Seared Thorium Ore
hbm:item.ore_seared:10, Seared Chlorocalcite Ore
hbm:item.ore_seared:11, Seared Fluorite Ore
hbm:item.ore_seared:12, Seared Hematite Ore
hbm:item.ore_seared:13, Seared Malachite Ore
hbm:item.ore_seared:14, Seared Neodymium Ore
hbm:item.ore_enriched:0, Enriched Iron Ore
hbm:item.ore_enriched:1, Enriched Copper Ore
hbm:item.ore_enriched:2, Enriched Borax Ore
hbm:item.ore_enriched:3, Enriched Asbestos Ore
hbm:item.ore_enriched:4, Enriched Niobium Ore
hbm:item.ore_enriched:5, Enriched Titanium Ore
hbm:item.ore_enriched:6, Enriched Tungsten Ore
hbm:item.ore_enriched:7, Enriched Gold Ore
hbm:item.ore_enriched:8, Enriched Uranium Ore
hbm:item.ore_enriched:9, Enriched Thorium Ore
hbm:item.ore_enriched:10, Enriched Chlorocalcite Ore
hbm:item.ore_enriched:11, Enriched Fluorite Ore
hbm:item.ore_enriched:12, Enriched Hematite Ore
hbm:item.ore_enriched:13, Enriched Malachite Ore
hbm:item.ore_enriched:14, Enriched Neodymium Ore
hbm:item.ore_byproduct:0, Crystalline Iron Fragment
hbm:item.ore_byproduct:1, Crystalline Copper Fragment
hbm:item.ore_byproduct:2, Crystalline Lithium Fragment
hbm:item.ore_byproduct:3, Crystalline Silicon Fragment
hbm:item.ore_byproduct:4, Crystalline Lead Fragment
hbm:item.ore_byproduct:5, Crystalline Titanium Fragment
hbm:item.ore_byproduct:6, Crystalline Aluminium Fragment
hbm:item.ore_byproduct:7, Crystalline Sulfur Fragment
hbm:item.ore_byproduct:8, Crystalline Calcium Fragment
hbm:item.ore_byproduct:9, Crystalline Bismuth Fragment
hbm:item.ore_byproduct:10, Crystalline Radium Fragment
hbm:item.ore_byproduct:11, Crystalline Technetium Fragment
hbm:item.ore_byproduct:12, Crystalline Polonium Fragment
hbm:item.ore_byproduct:13, Crystalline Uranium Fragment
hbm:item.bedrock_ore_base, Raw Bedrock Ore
hbm:item.bedrock_ore:0, Light Metal Bedrock Ore
hbm:item.bedrock_ore:16, Roasted Light Metal Bedrock Ore
hbm:item.bedrock_ore:32, Washed Light Metal Bedrock Ore
hbm:item.bedrock_ore:48, Light Metal Bedrock Ore, Primary Fraction
hbm:item.bedrock_ore:64, Light Metal Bedrock Ore, Roasted Primary Fraction
hbm:item.bedrock_ore:80, Light Metal Bedrock Ore, Sulfuric Primary Fraction
hbm:item.bedrock_ore:96, Light Metal Bedrock Ore, Separated Sulfuric Primary Fraction
hbm:item.bedrock_ore:112, Light Metal Bedrock Ore, Dissolved Primary Fraction
hbm:item.bedrock_ore:128, Light Metal Bedrock Ore, Separated Dissolved Primary Fraction
hbm:item.bedrock_ore:144, Light Metal Bedrock Ore, Cleaned Primary Fraction
hbm:item.bedrock_ore:160, Light Metal Bedrock Ore, Separated Cleaned Primary Fraction
hbm:item.bedrock_ore:176, Light Metal Bedrock Ore, Primary Fraction, Higher Weight
hbm:item.bedrock_ore:192, Light Metal Bedrock Ore, Primary Fraction, Lower Weight
hbm:item.bedrock_ore:208, Light Metal Bedrock Ore Crumbs
hbm:item.bedrock_ore:224, Light Metal Bedrock Ore, Sulfuric Byproduct
hbm:item.bedrock_ore:240, Light Metal Bedrock Ore, Roasted Sulfuric Byproduct
hbm:item.bedrock_ore:256, Light Metal Bedrock Ore, Seared Sulfuric Byproduct
hbm:item.bedrock_ore:272, Light Metal Bedrock Ore, Washed Sulfuric Byproduct
hbm:item.bedrock_ore:288, Light Metal Bedrock Ore, Dissolved Byproduct
hbm:item.bedrock_ore:304, Light Metal Bedrock Ore, Roasted Dissolved Byproduct
hbm:item.bedrock_ore:320, Light Metal Bedrock Ore, Seared Dissolved Byproduct
hbm:item.bedrock_ore:336, Light Metal Bedrock Ore, Washed Dissolved Byproduct
hbm:item.bedrock_ore:352, Light Metal Bedrock Ore, Cleaned Byproduct
hbm:item.bedrock_ore:368, Light Metal Bedrock Ore, Roasted Cleaned Byproduct
hbm:item.bedrock_ore:384, Light Metal Bedrock Ore, Seared Cleaned Byproduct
hbm:item.bedrock_ore:400, Light Metal Bedrock Ore, Washed Cleaned Byproduct
hbm:item.bedrock_ore:1, Heavy Metal Bedrock Ore
hbm:item.bedrock_ore:17, Roasted Heavy Metal Bedrock Ore
hbm:item.bedrock_ore:33, Washed Heavy Metal Bedrock Ore
hbm:item.bedrock_ore:49, Heavy Metal Bedrock Ore, Primary Fraction
hbm:item.bedrock_ore:65, Heavy Metal Bedrock Ore, Roasted Primary Fraction
hbm:item.bedrock_ore:81, Heavy Metal Bedrock Ore, Sulfuric Primary Fraction
hbm:item.bedrock_ore:97, Heavy Metal Bedrock Ore, Separated Sulfuric Primary Fraction
hbm:item.bedrock_ore:113, Heavy Metal Bedrock Ore, Dissolved Primary Fraction
hbm:item.bedrock_ore:129, Heavy Metal Bedrock Ore, Separated Dissolved Primary Fraction
hbm:item.bedrock_ore:145, Heavy Metal Bedrock Ore, Cleaned Primary Fraction
hbm:item.bedrock_ore:161, Heavy Metal Bedrock Ore, Separated Cleaned Primary Fraction
hbm:item.bedrock_ore:177, Heavy Metal Bedrock Ore, Primary Fraction, Higher Weight
hbm:item.bedrock_ore:193, Heavy Metal Bedrock Ore, Primary Fraction, Lower Weight
hbm:item.bedrock_ore:209, Heavy Metal Bedrock Ore Crumbs
hbm:item.bedrock_ore:225, Heavy Metal Bedrock Ore, Sulfuric Byproduct
hbm:item.bedrock_ore:241, Heavy Metal Bedrock Ore, Roasted Sulfuric Byproduct
hbm:item.bedrock_ore:257, Heavy Metal Bedrock Ore, Seared Sulfuric Byproduct
hbm:item.bedrock_ore:273, Heavy Metal Bedrock Ore, Washed Sulfuric Byproduct
hbm:item.bedrock_ore:289, Heavy Metal Bedrock Ore, Dissolved Byproduct
hbm:item.bedrock_ore:305, Heavy Metal Bedrock Ore, Roasted Dissolved Byproduct
hbm:item.bedrock_ore:321, Heavy Metal Bedrock Ore, Seared Dissolved Byproduct
hbm:item.bedrock_ore:337, Heavy Metal Bedrock Ore, Washed Dissolved Byproduct
hbm:item.bedrock_ore:353, Heavy Metal Bedrock Ore, Cleaned Byproduct
hbm:item.bedrock_ore:369, Heavy Metal Bedrock Ore, Roasted Cleaned Byproduct
hbm:item.bedrock_ore:385, Heavy Metal Bedrock Ore, Seared Cleaned Byproduct
hbm:item.bedrock_ore:401, Heavy Metal Bedrock Ore, Washed Cleaned Byproduct
hbm:item.bedrock_ore:2, Rare Earth Bedrock Ore
hbm:item.bedrock_ore:18, Roasted Rare Earth Bedrock Ore
hbm:item.bedrock_ore:34, Washed Rare Earth Bedrock Ore
hbm:item.bedrock_ore:50, Rare Earth Bedrock Ore, Primary Fraction
hbm:item.bedrock_ore:66, Rare Earth Bedrock Ore, Roasted Primary Fraction
hbm:item.bedrock_ore:82, Rare Earth Bedrock Ore, Sulfuric Primary Fraction
hbm:item.bedrock_ore:98, Rare Earth Bedrock Ore, Separated Sulfuric Primary Fraction
hbm:item.bedrock_ore:114, Rare Earth Bedrock Ore, Dissolved Primary Fraction
hbm:item.bedrock_ore:130, Rare Earth Bedrock Ore, Separated Dissolved Primary Fraction
hbm:item.bedrock_ore:146, Rare Earth Bedrock Ore, Cleaned Primary Fraction
hbm:item.bedrock_ore:162, Rare Earth Bedrock Ore, Separated Cleaned Primary Fraction
hbm:item.bedrock_ore:178, Rare Earth Bedrock Ore, Primary Fraction, Higher Weight
hbm:item.bedrock_ore:194, Rare Earth Bedrock Ore, Primary Fraction, Lower Weight
hbm:item.bedrock_ore:210, Rare Earth Bedrock Ore Crumbs
hbm:item.bedrock_ore:226, Rare Earth Bedrock Ore, Sulfuric Byproduct
hbm:item.bedrock_ore:242, Rare Earth Bedrock Ore, Roasted Sulfuric Byproduct
hbm:item.bedrock_ore:258, Rare Earth Bedrock Ore, Seared Sulfuric Byproduct
hbm:item.bedrock_ore:274, Rare Earth Bedrock Ore, Washed Sulfuric Byproduct
hbm:item.bedrock_ore:290, Rare Earth Bedrock Ore, Dissolved Byproduct
hbm:item.bedrock_ore:306, Rare Earth Bedrock Ore, Roasted Dissolved Byproduct
hbm:item.bedrock_ore:322, Rare Earth Bedrock Ore, Seared Dissolved Byproduct
hbm:item.bedrock_ore:338, Rare Earth Bedrock Ore, Washed Dissolved Byproduct
hbm:item.bedrock_ore:354, Rare Earth Bedrock Ore, Cleaned Byproduct
hbm:item.bedrock_ore:370, Rare Earth Bedrock Ore, Roasted Cleaned Byproduct
hbm:item.bedrock_ore:386, Rare Earth Bedrock Ore, Seared Cleaned Byproduct
hbm:item.bedrock_ore:402, Rare Earth Bedrock Ore, Washed Cleaned Byproduct
hbm:item.bedrock_ore:3, Actinide Bedrock Ore
hbm:item.bedrock_ore:19, Roasted Actinide Bedrock Ore
hbm:item.bedrock_ore:35, Washed Actinide Bedrock Ore
hbm:item.bedrock_ore:51, Actinide Bedrock Ore, Primary Fraction
hbm:item.bedrock_ore:67, Actinide Bedrock Ore, Roasted Primary Fraction
hbm:item.bedrock_ore:83, Actinide Bedrock Ore, Sulfuric Primary Fraction
hbm:item.bedrock_ore:99, Actinide Bedrock Ore, Separated Sulfuric Primary Fraction
hbm:item.bedrock_ore:115, Actinide Bedrock Ore, Dissolved Primary Fraction
hbm:item.bedrock_ore:131, Actinide Bedrock Ore, Separated Dissolved Primary Fraction
hbm:item.bedrock_ore:147, Actinide Bedrock Ore, Cleaned Primary Fraction
hbm:item.bedrock_ore:163, Actinide Bedrock Ore, Separated Cleaned Primary Fraction
hbm:item.bedrock_ore:179, Actinide Bedrock Ore, Primary Fraction, Higher Weight
hbm:item.bedrock_ore:195, Actinide Bedrock Ore, Primary Fraction, Lower Weight
hbm:item.bedrock_ore:211, Actinide Bedrock Ore Crumbs
hbm:item.bedrock_ore:227, Actinide Bedrock Ore, Sulfuric Byproduct
hbm:item.bedrock_ore:243, Actinide Bedrock Ore, Roasted Sulfuric Byproduct
hbm:item.bedrock_ore:259, Actinide Bedrock Ore, Seared Sulfuric Byproduct
hbm:item.bedrock_ore:275, Actinide Bedrock Ore, Washed Sulfuric Byproduct
hbm:item.bedrock_ore:291, Actinide Bedrock Ore, Dissolved Byproduct
hbm:item.bedrock_ore:307, Actinide Bedrock Ore, Roasted Dissolved Byproduct
hbm:item.bedrock_ore:323, Actinide Bedrock Ore, Seared Dissolved Byproduct
hbm:item.bedrock_ore:339, Actinide Bedrock Ore, Washed Dissolved Byproduct
hbm:item.bedrock_ore:355, Actinide Bedrock Ore, Cleaned Byproduct
hbm:item.bedrock_ore:371, Actinide Bedrock Ore, Roasted Cleaned Byproduct
hbm:item.bedrock_ore:387, Actinide Bedrock Ore, Seared Cleaned Byproduct
hbm:item.bedrock_ore:403, Actinide Bedrock Ore, Washed Cleaned Byproduct
hbm:item.bedrock_ore:4, Non-Metal Bedrock Ore
hbm:item.bedrock_ore:20, Roasted Non-Metal Bedrock Ore
hbm:item.bedrock_ore:36, Washed Non-Metal Bedrock Ore
hbm:item.bedrock_ore:52, Non-Metal Bedrock Ore, Primary Fraction
hbm:item.bedrock_ore:68, Non-Metal Bedrock Ore, Roasted Primary Fraction
hbm:item.bedrock_ore:84, Non-Metal Bedrock Ore, Sulfuric Primary Fraction
hbm:item.bedrock_ore:100, Non-Metal Bedrock Ore, Separated Sulfuric Primary Fraction
hbm:item.bedrock_ore:116, Non-Metal Bedrock Ore, Dissolved Primary Fraction
hbm:item.bedrock_ore:132, Non-Metal Bedrock Ore, Separated Dissolved Primary Fraction
hbm:item.bedrock_ore:148, Non-Metal Bedrock Ore, Cleaned Primary Fraction
hbm:item.bedrock_ore:164, Non-Metal Bedrock Ore, Separated Cleaned Primary Fraction
hbm:item.bedrock_ore:180, Non-Metal Bedrock Ore, Primary Fraction, Higher Weight
hbm:item.bedrock_ore:196, Non-Metal Bedrock Ore, Primary Fraction, Lower Weight
hbm:item.bedrock_ore:212, Non-Metal Bedrock Ore Crumbs
hbm:item.bedrock_ore:228, Non-Metal Bedrock Ore, Sulfuric Byproduct
hbm:item.bedrock_ore:244, Non-Metal Bedrock Ore, Roasted Sulfuric Byproduct
hbm:item.bedrock_ore:260, Non-Metal Bedrock Ore, Seared Sulfuric Byproduct
hbm:item.bedrock_ore:276, Non-Metal Bedrock Ore, Washed Sulfuric Byproduct
hbm:item.bedrock_ore:292, Non-Metal Bedrock Ore, Dissolved Byproduct
hbm:item.bedrock_ore:308, Non-Metal Bedrock Ore, Roasted Dissolved Byproduct
hbm:item.bedrock_ore:324, Non-Metal Bedrock Ore, Seared Dissolved Byproduct
hbm:item.bedrock_ore:340, Non-Metal Bedrock Ore, Washed Dissolved Byproduct
hbm:item.bedrock_ore:356, Non-Metal Bedrock Ore, Cleaned Byproduct
hbm:item.bedrock_ore:372, Non-Metal Bedrock Ore, Roasted Cleaned Byproduct
hbm:item.bedrock_ore:388, Non-Metal Bedrock Ore, Seared Cleaned Byproduct
hbm:item.bedrock_ore:404, Non-Metal Bedrock Ore, Washed Cleaned Byproduct
hbm:item.bedrock_ore:5, Crystalline Bedrock Ore
hbm:item.bedrock_ore:21, Roasted Crystalline Bedrock Ore
hbm:item.bedrock_ore:37, Washed Crystalline Bedrock Ore
hbm:item.bedrock_ore:53, Crystalline Bedrock Ore, Primary Fraction
hbm:item.bedrock_ore:69, Crystalline Bedrock Ore, Roasted Primary Fraction
hbm:item.bedrock_ore:85, Crystalline Bedrock Ore, Sulfuric Primary Fraction
hbm:item.bedrock_ore:101, Crystalline Bedrock Ore, Separated Sulfuric Primary Fraction
hbm:item.bedrock_ore:117, Crystalline Bedrock Ore, Dissolved Primary Fraction
hbm:item.bedrock_ore:133, Crystalline Bedrock Ore, Separated Dissolved Primary Fraction
hbm:item.bedrock_ore:149, Crystalline Bedrock Ore, Cleaned Primary Fraction
hbm:item.bedrock_ore:165, Crystalline Bedrock Ore, Separated Cleaned Primary Fraction
hbm:item.bedrock_ore:181, Crystalline Bedrock Ore, Primary Fraction, Higher Weight
hbm:item.bedrock_ore:197, Crystalline Bedrock Ore, Primary Fraction, Lower Weight
hbm:item.bedrock_ore:213, Crystalline Bedrock Ore Crumbs
hbm:item.bedrock_ore:229, Crystalline Bedrock Ore, Sulfuric Byproduct
hbm:item.bedrock_ore:245, Crystalline Bedrock Ore, Roasted Sulfuric Byproduct
hbm:item.bedrock_ore:261, Crystalline Bedrock Ore, Seared Sulfuric Byproduct
hbm:item.bedrock_ore:277, Crystalline Bedrock Ore, Washed Sulfuric Byproduct
hbm:item.bedrock_ore:293, Crystalline Bedrock Ore, Dissolved Byproduct
hbm:item.bedrock_ore:309, Crystalline Bedrock Ore, Roasted Dissolved Byproduct
hbm:item.bedrock_ore:325, Crystalline Bedrock Ore, Seared Dissolved Byproduct
